Population: 400
Percentage of population that is vaccinated: 0.9
Virus Name: Ebola
Virus Mortality Rate: 0.7
Virus Reproduction Rate: 0.25
Time step 0 ended, beginning 1
3 didn't infect 61 because vaccinated 
3 didn't infect 380 because vaccinated 
3 didn't infect 274 because vaccinated 
3 didn't infect 390 because vaccinated 
3 didn't infect 353 because vaccinated 
3 didn't infect 94 because vaccinated 
3 didn't infect 98 because vaccinated 
3 didn't infect 110 because vaccinated 
3 didn't infect 378 because vaccinated 
3 didn't infect 247 because vaccinated 
3 didn't infect 141 because vaccinated 
3 didn't infect 370 because vaccinated 
3 didn't infect 301 because vaccinated 
3 didn't infect 389 because vaccinated 
3 didn't infect 268 because vaccinated 
3 didn't infect 305 because vaccinated 
3 didn't infect 51 because vaccinated 
3 didn't infect 99 because vaccinated 
3 didn't infect 151 because vaccinated 
3 didn't infect 116 because vaccinated 
3 didn't infect 184 because vaccinated 
3 didn't infect 91 because vaccinated 
3 didn't infect 362 because vaccinated 
3 didn't infect 273 because vaccinated 
3 didn't infect 64 because vaccinated 
3 didn't infect 140 because vaccinated 
3 didn't infect 23 because vaccinated 
3 didn't infect 27 because vaccinated 
3 didn't infect 283 because vaccinated 
3 didn't infect 149 because vaccinated 
3 didn't infect 357 because vaccinated 
3 didn't infect 326 because vaccinated 
3 didn't infect 251 because vaccinated 
3 didn't infect 52 because vaccinated 
3 didn't infect 6 because vaccinated 
3 didn't infect 293 because vaccinated 
3 didn't infect 145 because vaccinated 
3 didn't infect 240 because vaccinated 
3 didn't infect 245 because vaccinated 
3 didn't infect 225 because vaccinated 
3 didn't infect 26 because vaccinated 
3 didn't infect 129 because vaccinated 
3 didn't infect 244 because vaccinated 
3 didn't infect 58 because vaccinated 
3 didn't infect 205 because vaccinated 
3 didn't infect 295 because vaccinated 
3 didn't infect 322 because vaccinated 
3 infects 351 
3 didn't infect 76 because vaccinated 
3 infects 155 
3 didn't infect 127 because vaccinated 
3 didn't infect 60 because vaccinated 
3 didn't infect 285 because vaccinated 
3 didn't infect 391 because vaccinated 
3 didn't infect 213 because vaccinated 
3 didn't infect 310 because vaccinated 
3 didn't infect 305 because vaccinated 
3 didn't infect 115 because vaccinated 
3 didn't infect 397 because vaccinated 
3 didn't infect 267 because vaccinated 
3 didn't infect 194 because vaccinated 
3 didn't infect 230 because vaccinated 
3 didn't infect 226 because vaccinated 
3 didn't infect 152 because vaccinated 
3 didn't infect 301 because vaccinated 
3 didn't infect 219 because vaccinated 
3 didn't infect 317 because vaccinated 
3 didn't infect 30 because vaccinated 
3 didn't infect 312 because vaccinated 
3 didn't infect 378 because vaccinated 
3 didn't infect 50 because vaccinated 
3 didn't infect 390 because vaccinated 
3 didn't infect 106 because vaccinated 
3 didn't infect 320 because vaccinated 
3 didn't infect 108 because vaccinated 
3 didn't infect 135 because vaccinated 
3 didn't infect 338 because vaccinated 
3 didn't infect 41 because vaccinated 
3 didn't infect 80 because vaccinated 
3 didn't infect 122 because vaccinated 
3 didn't infect 88 because vaccinated 
3 didn't infect 282 because vaccinated 
3 infects 38 
3 didn't infect 209 because vaccinated 
4 didn't infect 230 because vaccinated 
4 didn't infect 352 because vaccinated 
4 didn't infect 304 because vaccinated 
4 didn't infect 240 because vaccinated 
4 didn't infect 149 because vaccinated 
4 didn't infect 16 because vaccinated 
4 didn't infect 118 because vaccinated 
4 didn't infect 147 because vaccinated 
4 didn't infect 361 because vaccinated 
4 didn't infect 232 because vaccinated 
4 didn't infect 36 because vaccinated 
4 infects 351 
4 didn't infect 135 because vaccinated 
4 didn't infect 320 because vaccinated 
4 didn't infect 301 because vaccinated 
4 didn't infect 338 because vaccinated 
4 didn't infect 101 because vaccinated 
4 infects 278 
4 didn't infect 76 because vaccinated 
4 didn't infect 72 because vaccinated 
4 didn't infect 36 because vaccinated 
4 didn't infect 30 because vaccinated 
4 didn't infect 84 because vaccinated 
4 didn't infect 157 because vaccinated 
4 didn't infect 304 because vaccinated 
4 didn't infect 383 because vaccinated 
4 didn't infect 291 because vaccinated 
4 didn't infect 147 because vaccinated 
4 didn't infect 224 because vaccinated 
4 didn't infect 63 because vaccinated 
4 didn't infect 239 because vaccinated 
4 didn't infect 352 because vaccinated 
4 didn't infect 155 because vaccinated 
4 didn't infect 139 because vaccinated 
4 didn't infect 256 because vaccinated 
4 didn't infect 276 because vaccinated 
4 didn't infect 252 because vaccinated 
4 didn't infect 224 because vaccinated 
4 didn't infect 41 because vaccinated 
4 didn't infect 306 because vaccinated 
4 didn't infect 20 because vaccinated 
4 didn't infect 221 because vaccinated 
4 didn't infect 376 because vaccinated 
4 didn't infect 165 because vaccinated 
4 didn't infect 309 because vaccinated 
4 didn't infect 128 because vaccinated 
4 didn't infect 13 because vaccinated 
4 didn't infect 46 because vaccinated 
4 didn't infect 117 because vaccinated 
4 didn't infect 345 because vaccinated 
4 didn't infect 294 because vaccinated 
4 didn't infect 300 because vaccinated 
4 didn't infect 10 because vaccinated 
4 didn't infect 391 because vaccinated 
4 didn't infect 344 because vaccinated 
4 didn't infect 137 because vaccinated 
4 didn't infect 295 because vaccinated 
4 didn't infect 20 because vaccinated 
4 didn't infect 390 because vaccinated 
4 didn't infect 387 because vaccinated 
4 didn't infect 89 because vaccinated 
4 didn't infect 240 because vaccinated 
4 didn't infect 265 because vaccinated 
4 didn't infect 333 because vaccinated 
4 didn't infect 226 because vaccinated 
4 didn't infect 142 because vaccinated 
4 didn't infect 92 because vaccinated 
4 didn't infect 299 because vaccinated 
4 didn't infect 223 because vaccinated 
4 didn't infect 325 because vaccinated 
4 didn't infect 251 because vaccinated 
4 didn't infect 46 because vaccinated 
4 didn't infect 240 because vaccinated 
4 didn't infect 178 because vaccinated 
4 didn't infect 209 because vaccinated 
4 didn't infect 170 because vaccinated 
4 didn't infect 164 because vaccinated 
4 didn't infect 343 because vaccinated 
4 didn't infect 53 because vaccinated 
4 didn't infect 82 because vaccinated 
4 didn't infect 168 because vaccinated 
4 didn't infect 253 because vaccinated 
4 didn't infect 147 because vaccinated 
4 didn't infect 339 because vaccinated 
4 didn't infect 205 because vaccinated 
4 didn't infect 281 because vaccinated 
4 didn't infect 18 because vaccinated 
4 didn't infect 232 because vaccinated 
4 didn't infect 45 because vaccinated 
4 didn't infect 161 because vaccinated 
4 didn't infect 129 because vaccinated 
4 didn't infect 165 because vaccinated 
4 didn't infect 59 because vaccinated 
4 didn't infect 395 because vaccinated 
4 didn't infect 263 because vaccinated 
4 didn't infect 0 because already sick 
4 didn't infect 336 because vaccinated 
4 didn't infect 277 because vaccinated 
4 didn't infect 236 because vaccinated 
4 didn't infect 211 because vaccinated 
4 didn't infect 27 because vaccinated 
0 died from infection.
1 died from infection.
2 survived the infection.
3 died from infection.
4 survived the infection.
Time step 1 ended, beginning 2
38 didn't infect 104 because vaccinated 
38 didn't infect 136 because vaccinated 
38 didn't infect 281 because vaccinated 
38 didn't infect 67 because vaccinated 
38 didn't infect 147 because vaccinated 
38 didn't infect 224 because vaccinated 
38 didn't infect 357 because vaccinated 
38 didn't infect 14 because vaccinated 
38 didn't infect 322 because vaccinated 
38 didn't infect 311 because vaccinated 
38 didn't infect 122 because vaccinated 
38 didn't infect 363 because vaccinated 
38 didn't infect 81 because vaccinated 
38 didn't infect 7 because vaccinated 
38 didn't infect 282 because vaccinated 
38 didn't infect 208 because vaccinated 
38 didn't infect 47 because vaccinated 
38 didn't infect 115 because vaccinated 
38 didn't infect 58 because vaccinated 
38 didn't infect 60 because vaccinated 
38 didn't infect 331 because vaccinated 
38 didn't infect 78 because vaccinated 
38 didn't infect 255 because vaccinated 
38 didn't infect 366 because vaccinated 
38 didn't infect 149 because vaccinated 
38 didn't infect 260 because vaccinated 
38 didn't infect 212 because vaccinated 
38 didn't infect 247 because vaccinated 
38 didn't infect 241 because vaccinated 
38 didn't infect 124 because vaccinated 
38 didn't infect 233 because vaccinated 
38 didn't infect 282 because vaccinated 
38 didn't infect 74 because vaccinated 
38 didn't infect 196 because vaccinated 
38 didn't infect 97 because vaccinated 
38 didn't infect 306 because vaccinated 
38 didn't infect 260 because vaccinated 
38 didn't infect 69 because vaccinated 
38 didn't infect 35 because vaccinated 
38 didn't infect 141 because vaccinated 
38 didn't infect 395 because vaccinated 
38 didn't infect 212 because vaccinated 
38 didn't infect 174 because vaccinated 
38 didn't infect 259 because vaccinated 
38 didn't infect 144 because vaccinated 
38 didn't infect 371 because vaccinated 
38 didn't infect 152 because vaccinated 
38 didn't infect 300 because vaccinated 
38 didn't infect 296 because vaccinated 
38 didn't infect 337 because vaccinated 
38 didn't infect 250 because vaccinated 
38 didn't infect 76 because vaccinated 
38 didn't infect 247 because vaccinated 
38 didn't infect 176 because vaccinated 
38 didn't infect 170 because vaccinated 
38 didn't infect 282 because vaccinated 
38 didn't infect 390 because vaccinated 
38 didn't infect 278 because already sick 
38 didn't infect 193 because vaccinated 
38 didn't infect 233 because vaccinated 
38 didn't infect 164 because vaccinated 
38 didn't infect 96 because vaccinated 
38 infects 357 
38 didn't infect 196 because vaccinated 
38 didn't infect 119 because vaccinated 
38 didn't infect 210 because vaccinated 
38 didn't infect 22 because vaccinated 
38 didn't infect 162 because vaccinated 
38 didn't infect 381 because vaccinated 
38 didn't infect 242 because vaccinated 
38 didn't infect 361 because vaccinated 
38 didn't infect 195 because vaccinated 
38 didn't infect 197 because vaccinated 
38 didn't infect 339 because vaccinated 
38 didn't infect 333 because vaccinated 
38 didn't infect 77 because vaccinated 
38 didn't infect 253 because vaccinated 
38 didn't infect 18 because vaccinated 
38 didn't infect 64 because vaccinated 
38 didn't infect 257 because vaccinated 
38 didn't infect 302 because vaccinated 
38 didn't infect 169 because vaccinated 
38 didn't infect 51 because vaccinated 
38 didn't infect 225 because already sick 
38 didn't infect 51 because vaccinated 
38 didn't infect 269 because vaccinated 
38 didn't infect 233 because vaccinated 
38 didn't infect 7 because vaccinated 
38 didn't infect 369 because vaccinated 
38 didn't infect 73 because vaccinated 
38 didn't infect 209 because vaccinated 
38 didn't infect 335 because vaccinated 
38 didn't infect 79 because vaccinated 
38 didn't infect 240 because vaccinated 
38 didn't infect 135 because vaccinated 
38 didn't infect 173 because vaccinated 
38 didn't infect 319 because vaccinated 
38 didn't infect 354 because vaccinated 
38 didn't infect 203 because vaccinated 
38 didn't infect 168 because vaccinated 
38 didn't infect 273 because vaccinated 
101 didn't infect 194 because vaccinated 
101 didn't infect 162 because vaccinated 
101 didn't infect 320 because vaccinated 
101 didn't infect 367 because vaccinated 
101 didn't infect 388 because vaccinated 
101 didn't infect 249 because vaccinated 
101 didn't infect 277 because vaccinated 
101 didn't infect 18 because vaccinated 
101 didn't infect 316 because vaccinated 
101 didn't infect 35 because vaccinated 
101 didn't infect 120 because vaccinated 
101 didn't infect 323 because vaccinated 
101 didn't infect 350 because vaccinated 
101 didn't infect 147 because vaccinated 
101 didn't infect 116 because vaccinated 
101 didn't infect 382 because vaccinated 
101 didn't infect 46 because vaccinated 
101 didn't infect 222 because vaccinated 
101 didn't infect 50 because vaccinated 
101 didn't infect 389 because vaccinated 
101 didn't infect 324 because vaccinated 
101 didn't infect 51 because vaccinated 
101 didn't infect 227 because vaccinated 
101 didn't infect 85 because vaccinated 
101 didn't infect 355 because already sick 
101 didn't infect 153 because vaccinated 
101 didn't infect 14 because vaccinated 
